             name              | total_languages 
 Frank Herbert                 |               2
 Frank Kermode                 |               2
 Frank McCourt                 |               2
 Fred Saberhagen               |               2
 Frederick C Beiser            |               2
 Frederick Charles Copleston   |               2
 Friedrich Engels              |               2
 Fritz Leiber                  |               2
 G Richard Shell               |               2
 GEM Anscombe                  |               2
 GP Goold                      |               2
 Gareth Stedman Jones          |               2
 Garry Wills                   |               2
 Garth Nix                     |               2
 Gary Carey                    |               2
 Gary Erskine                  |               2
 Gary Paulsen                  |               2
 Gary Richard Thompson         |               2
 Gary Smalley                  |               2
 Gene Kerrigan                 |               2
 Geoffrey Chaucer              |               2
 George Beahm                  |               2
 George Crile                  |               2
 George E Stanley              |               2
 George Eliot                  |               2
 George Gamow                  |               2
 George Lucas                  |               2
 George Orwell                 |               2
 George RR Martin              |               2
 Georges Perec                 |               2
 Gerard Stembridge             |               2
 Gina Moxley                   |               2
 Giovanni Pontiero             |               2
 Glen Merzer                   |               2
 Glenn McCoy                   |               2
 Graham Masterton              |               2
 Greg Iles                     |               2
 Greg Ruggiero                 |               2
 Gustave Flaubert              |               2
 Guy Abadia                    |               2
 Guy Cardwell                  |               2
 Guy Francis                   |               2
 HG Wells                      |               2
 HP Lovecraft                  |               2
 Halldr Laxness                |               2
 Hanif Kureishi                |               2
 Harper Lee                    |               2
 Harrison Hayford              |               2
 Harry G Frankfurt             |               2
 Harvey Pekar                  |               2
 Hayao Miyazaki                |               2
 Heidi Hayes Jacobs            |               2
 Heidi Murkoff                 |               2
 Helen Fielding                |               2
 Helen McCarthy                |               2
 Henning Mankell               |               2
 Henri JM Nouwen               |               2
 Herman Wouk                   |               2
 Herodotus                     |               2
 Hershel Parker                |               2
 Hideyuki Kikuchi              |               2
 Hilary H Milton               |               2
 Hirohiko Araki                |               2
 Honor de Balzac               |               2
 Hotaru Odagiri                |               2
 Howard Chaykin                |               2
 Howard F Lyman                |               2
 Howard Porter                 |               2
 Hugo Hamilton                 |               2
 Huston Smith                  |               2
 Ian Beck                      |               2
 Ian Fleming                   |               2
 Ilon Wikland                  |               2
 Immanuel Kant                 |               2
 Indu Sundaresan               |               2
 Iris Murdoch                  |               2
 Irving Stone                  |               2
 Isaac Asimov                  |               2
 Isaac Bashevis Singer         |               2
 Ishmael Reed                  |               2
 Italo Calvino                 |               2
 J Sibree                      |               2
 JD Robb                       |               2
 JD Salinger                   |               2
 JM Coetzee                    |               2
 JV Jones                      |               2
 Jack Dann                     |               2
 Jack Du Brul                  |               2
 Jack Kerley                   |               2
 Jack London                   |               2
 Jack Trout                    |               2
 Jacob Grimm                   |               2
 Jacqueline Carey              |               2
 Jakob Nielsen                 |               2
 James A Michener              |               2
 James Axler                   |               2
 James Ellroy                  |               2
 James Grieve                  |               2
 James Joyce                   |               2
 James Lamar Roberts           |               2
 James Lee Burke               |               2
 James M Kouzes                |               2
 James Patterson               |               2
 James Preller                 |               2
 James Redfield                |               2
 James Romberger               |               2
 James Sexton                  |               2
 James Thomas                  |               2
 Jamie  Smith                  |               2
 Jane Austen                   |               2
 Jane Smiley                   |               2
 Janet Evanovich               |               2
 Janet Pack                    |               2
 Janet Valade                  |               2
 Janette Oke                   |               2
 Janny Wurts                   |               2
 Javier Cercas                 |               2
 Jay McInerney                 |               2
 Jay Parini                    |               2
 Jean Rabe                     |               2
 Jean Rhys                     |               2
 JeanJacques Rousseau          |               2
 JeanPaul Orpinas              |               2
 Jeffrey Ford                  |               2
 Jeffrey Henderson             |               2
 Jenna Jameson                 |               2
 Jennifer Tolbert Roberts      |               2
 Jenny Nimmo                   |               2
 Jerome K Jerome               |               2
 Jerry Spinelli                |               2
 Jessica Adams                 |               2
 Jessie Coulson                |               2
 Jim Lehrer                    |               2
 Jimmy Buffett                 |               2
 Jimmy Carter                  |               2
 Jincy Willett                 |               2
 Joan Aiken                    |               2
 Joan Holub                    |               2
 Joanne Harris                 |               2
 Joanne Trautmann              |               2
 Jody Lynn Nye                 |               2
 Joe Haldeman                  |               2
 Joe Kubert                    |               2
 Joe Mantegna                  |               2
 John         Green            |               2
 John Barth                    |               2
 John Bayley                   |               2
 John Berendt                  |               2
 John Brunner                  |               2
 John C Maxwell                |               2
 John Collier                  |               2
 John Connolly                 |               2
 John Dos Passos               |               2
 John Eldredge                 |               2
 John F MacArthur Jr           |               2
 John Gray                     |               2
 John Grisham                  |               2
 John Grogan                   |               2
 John Kennedy Toole            |               2
 John Kenneth Galbraith        |               2
 John Milton                   |               2
 John Perkins                  |               2
 John Piper                    |               2
 John Sandford                 |               2
 John Saul                     |               2
 John Steinbeck                |               2
 John Steven Gurney            |               2
 John Stokes                   |               2
 John Sturrock                 |               2
 John Tollett                  |               2
 John Updike                   |               2
 Jon J Muth                    |               2
 Jonathan Carroll              |               2
 Jonathan Harr                 |               2
 Jonathan Swift                |               2
 Joost Elffers                 |               2
 Jordi Castells                |               2
 Jorge Luis Borges             |               2
 Jos Luis GarcaLpez            |               2
 Joseph Bruchac                |               2
 Joseph Campbell               |               2
 Joseph Heller                 |               2
 Joseph OConnor                |               2
 Joseph Wambaugh               |               2
 Jostein Gaarder               |               2
 Jude Fisher                   |               2
 Judith Butler                 |               2
 Julia Alvarez                 |               2
 Julian Jaynes                 |               2
 Julian May                    |               2
 Julie Powell                  |               2
 Juliet Marillier              |               2
 Justin OBrien                 |               2
 Karen Kingsbury               |               2
 Karin Slaughter               |               2
 Karl Marx                     |               2
 Kate DiCamillo                |               2
 Kate Mosse                    |               2
 Katherine Kurtz               |               2
 Katherine Paterson            |               2
 Kathryn Lasky                 |               2
 Kazuo Umezu                   |               2
 Kenneth H Blanchard           |               2
 Kenneth James Dover           |               2
 Kevin CrossleyHolland         |               2
 Kevin Henkes                  |               2
 Kevin J Anderson              |               2
 Kevin Trudeau                 |               2
 Kim Stanley Robinson          |               2
 Kohta Hirano                  |               2
 Kresley Cole                  |               2
 Kurban Said                   |               2
 Kurt Busiek                   |               2
 Kyoko Hikawa                  |               2
 L Sprague de Camp             |               2
 LA Banks                      |               2
 LM Montgomery                 |               2
 Larissa Volokhonsky           |               2
 Larry McMurtry                |               2
 Larry Niven                   |               2
 Laura Caldwell                |               2
 Laura Driscoll                |               2
 Laura Godwin                  |               2
 Laura Ingalls Wilder          |               2
 Lauren Weisberger             |               2
 Laurence Yep                  |               2
 Laurie Halse Anderson         |               2
 Laurie Thompson               |               2
 Lawrence Block                |               2
 Lawrence Durrell              |               2
 Lawrence Otis Graham          |               2
 Lee Child                     |               2
 Leo Tolstoy                   |               2
 Leonard Mlodinow              |               2
 Leonard S Marcus              |               2
 Leonard Sweet                 |               2
 Lerone Bennett Jr             |               2
 Lewis Carroll                 |               2
 Lin Carter                    |               2
 Lincoln Child                 |               2
 Lloyd Alexander               |               2
 Lois Lenski                   |               2
 Louis Begley                  |               2
 Louis Iribarne                |               2
 Louis J Budd                  |               2
 Louisa May Alcott             |               2
 Ludwig Wittgenstein           |               2
 Luis Seplveda                 |               2
 Lynda Barry                   |               2
 Lynda Milligan                |               2
 M Scott Peck                  |               2
 MC Beaton                     |               2
 MM Kaye                       |               2
 Madeleine Brent               |               2
 Magnus Magnusson              |               2
 Malcolm Gladwell              |               2
 Malvina G Vogel               |               2
 Manuela Soares                |               2
 Marcelo Frusn                 |               2
 Marcia Angell                 |               2
 Marcia Thornton Jones         |               2
 Margaret Atwood               |               2
 Margaret Brantley             |               2
 Margaret Truman               |               2
 Margaret Weis                 |               2
 Mari Mancusi                  |               2
 MarieCatherine Caillava       |               2
 Marilyn Manson                |               2
 Marion Zimmer Bradley         |               2
 Marissa Moss                  |               2
 Marjane Satrapi               |               2
 Mark Billingham               |               2
 Mark Buckingham               |               2
 Mark Hussey                   |               2
 Mark LeVine                   |               2
 Mark Pennington               |               2
 Mark Z Danielewski            |               2
 Marsha Collier                |               2
 Marshall McLuhan              |               2
 Martin H Greenberg            |               2
 Martin Heidegger              |               2
 Marvin Kaye                   |               2
 Mary Engelbreit               |               2
 Mary Higgins Clark            |               2
 Mary Roach                    |               2
 Mary S Lovell                 |               2
 Masamune Shirow               |               2
 Matthew Kneale                |               2
 Matthew L Sands               |               2
 Maud Hart Lovelace            |               2
 Maurice Sendak                |               2
 Max Allan Collins             |               2
 Max Barry                     |               2
 Max Frisch                    |               2
 Mechtild SandbergCiletti      |               2
 Meg Cabot                     |               2
 Melanie Rawn                  |               2
 Mervyn Peake                  |               2
 Michael   Lewis               |               2
 Michael Connelly              |               2
 Michael D Lyman               |               2
 Michael Hague                 |               2
 Michael Kandel                |               2
 Michael Moorcock              |               2
 Michael Neill                 |               2
 Michael Palin                 |               2
 Michael Pollan                |               2
 Michael Shaara                |               2
 Michael Swanwick              |               2
 Michael Teitelbaum            |               2
 Michel de Montaigne           |               2
 Michio Kaku                   |               2
 Mickey Zucker Reichert        |               2
 Mikal Gilmore                 |               2
 Mike Lupica                   |               2
 Mike Resnick                  |               2
 Mikhail Bulgakov              |               2
 Minette Walters               |               2
 Mircea Eliade                 |               2
 Monica Gesue                  |               2
 Moses Hadas                   |               2
 Murasaki Shikibu              |               2
